host_id,lake,days_frozen,host_sex,host_fl,host_ww,host_sl,host_age,eggs,eggs_per,date_caught,dissected,act,onch,hap,cleid,uro,misc,erg,total,p_simp,p_invsimp,high_rel_ab,ac_rel_ab,onch_rel.ab,high_sp,size_cwm,act_mean_length,act_number_observation,act_se_length,act_stdev_length,hap_mean_length,hap_number_observation,hap_se_length,hap_stdev_length,onch_mean_length,onch_number_observation,onch_se_length,onch_stdev_length
197,JL,8,mb,136.3,55.42,113.84,NA,NA,NA,7/31/2018,8/8/2018,53,69,12,1,6,0,1,141,0.614488349,2.593955322,0.489361702,0.375886525,0.489361702,onch,403.810469,374.6798769,36,6.079670737,36.47802442,394.0349423,11,12.71860353,42.18283576,425.916012,51,9.17476079,65.52089753
198,JL,11,f,155.42,99.52,128.08,NA,NA,NA,8/2/2018,8/13/2018,87,71,33,0,3,0,1,194,0.639068426,2.770608258,0.448453608,0.448453608,0.365979381,act,414.0467665,376.9047231,60,4.163040485,32.24677293,412.3731813,30,6.04072568,33.08641719,460.3367113,54,5.768177143,42.38727224
201,RSL,150,ma,176.56,140.97,148.29,NA,NA,NA,6/11/2018,11/8/2018,43,112,0,21,1,0,1,177,0.529468413,2.125255833,0.632768362,0.242937853,0.632768362,onch,478.6554118,371.9914814,25,12.43772008,62.18860039,NA,NA,NA,NA,430.3593099,43,8.580053123,56.26317089
202,RSL,51,f,158.1,84.1,131.13,NA,NA,NA,9/24/2018,11/14/2018,71,72,14,0,0,0,0,157,0.580924383,2.386204209,0.458598726,0.452229299,0.458598726,onch,388.6609346,335.6436629,62,5.242675733,41.28087,440.5763084,12,16.0152151,55.47833249,430.8471993,58,6.486392682,49.39889494
203,JL,63,f,147.49,72.51,121.81,NA,NA,NA,9/17/2018,11/19/2018,47,25,0,0,0,0,0,72,0.45970266,1.85083273,0.652777778,0.652777778,0.347222222,act,358.337198,342.8942504,43,9.411704529,61.71667386,NA,NA,NA,NA,387.3699395,21,8.503219534,38.96664717
204,RSL,152,ma,182.81,149.09,150.72,NA,NA,NA,6/27/2018,11/26/2018,109,139,5,6,8,0,1,267,0.562670722,2.286606568,0.520599251,0.4082397,0.520599251,onch,464.6625563,416.186364,40,7.345701518,46.45829561,359.2247557,1,NA,NA,470.8265081,45,10.09551839,67.72279614
205,RSL,67,mb,167.94,128.12,145.18,NA,NA,NA,9/24/2018,11/30/2018,26,20,0,0,0,0,0,46,0.502415459,2.009708738,0.565217391,0.565217391,0.434782609,act,361.8099763,338.9982233,22,12.32696698,57.81860019,NA,NA,NA,NA,391.4652552,18,9.692432625,41.12150901
206,RSL,100,ma,161.88,118.65,136.37,NA,NA,NA,9/24/2018,1/2/2019,45,41,4,0,0,0,0,90,0.546566792,2.205396476,0.5,0.5,0.455555556,act,374.2337459,338.2607166,25,10.70343414,53.51717069,510.3322476,1,NA,NA,400.4384365,25,13.4858465,67.42923251
207,SKL,116,ma,193.65,179.31,158.39,NA,NA,NA,9/13/2018,1/7/2019,18,15,0,1,0,0,0,34,0.540106952,2.174418605,0.529411765,0.529411765,0.441176471,act,462.449814,382.2324919,16,13.42502944,53.70011774,NA,NA,NA,NA,441.3645882,14,14.78576469,55.32326565
208,SKL,119,f,123.29,34.76,103.94,NA,NA,NA,9/20/2018,1/17/2019,15,1,0,0,0,0,0,16,0.125,1.142857143,0.9375,0.9375,0.0625,act,318.165513,311.9934853,10,16.27644054,51.47062431,NA,NA,NA,NA,410.7459283,1,NA,NA
209,SKL,119,mb,113.75,29.97,93.49,NA,NA,NA,9/20/2018,1/17/2019,21,3,2,0,0,0,0,26,0.341538462,1.518691589,0.807692308,0.807692308,0.115384615,act,308.4911602,305.6587469,17,11.82113322,48.7397809,311.8143322,1,NA,NA,326.1026059,2,19.80618895,28.01018103
210,RSL,120,NA,171.28,122.63,146.47,NA,NA,NA,10/15/2018,2/12/2019,94,157,36,0,3,0,0,290,0.588354612,2.429275362,0.54137931,0.324137931,0.54137931,onch,472.8358032,384.3804217,76,6.258794254,54.56290332,516.1619544,25,13.03551978,65.17759891,515.8616913,102,6.08158995,61.42104774
211,SKL,160,f,115.67,34.27,96.79,NA,NA,NA,9/13/2018,2/20/2019,11,8,0,0,0,0,0,19,0.514619883,2.060240964,0.578947368,0.578947368,0.421052632,act,344.7631979,325.9752443,10,12.18278373,38.52534482,NA,NA,NA,NA,370.5966341,6,19.53243071,47.84448867
212,SKL,161,f,110.19,28.13,90.93,NA,NA,NA,9/13/2018,2/21/2019,4,0,0,0,0,0,0,4,0,1,1,1,0,act,292.6992399,292.6992399,3,33.3212551,57.7141068,NA,NA,NA,NA,NA,NA,NA,NA
213,JL,301,ma,159.96,97.6,131.8,NA,NA,NA,8/2/2018,5/30/2019,27,79,21,0,0,0,4,127,0.544806899,2.196869852,0.622047244,0.212598425,0.622047244,onch,390.1478619,289.34922,19,16.88369405,73.59431617,408.8866449,10,15.76240034,49.84508646,419.6168352,38,11.26818179,69.46173763
214,JL,310,ma,140.25,59.26,113.42,NA,NA,NA,8/2/2018,6/8/2019,19,5,0,3,0,0,2,27,0.475783476,1.907608696,0.703703704,0.703703704,0.185185185,act,303.044777,269.2000543,12,16.30893037,56.49579205,NA,NA,NA,NA,431.6547231,5,54.92048315,122.8059337
